ID,Source,Project Name,Date of publication,Project timeline,Theme(s),Theme(s),OGC Tech Trend,,,,,,,,Emerging technology,,,,,,,,,Technology Readiness Level,,,,,,,,,,,,,,Public value,,,,,,,,,,,,,,,,,,Government members delivering Project,Other Members delivering project,Key findings - technology,Key findings - use case,Key findings - governance ,Key findings – open challenges,Key findings - additional notes,link to more info,
P61,http://smartcity.valencia.es/vlci/gisportal-improvements-smart-geoservices/,Geoportal Smart City Valencia,,,Community development; cross-cutting,6.2; cross-cutting,1,,,1,1,1,1,1,,,,,,,,,,,,,1,1,Spain,,,,,,,1,Valencia,1,1,1,1,1,1,1,,,,1,,,,,,,,Smart City Office Valencia,,Use of FIWARE applications/ operations. Company platform for solutions. Define standards and model that enable replication. Generic module software - apps will be compatible and uses across Europe. Handling context info. (including geospatial info); context broker: break silos. Context Broker. Addition to existing GIS Portal: Integration of the information of the public and private car parks of the city or of all the lighting equipment through a single API (standard interface for use by applications) or the integration of the tax data for its advanced exploitation from the Geographic information system City Council (GIS).,The objective of this action is to replace the existing GIS architecture with a service-oriented architecture that allows providing new functionalities to the Municipal Geographic Information System; as well as the migration of the applications used in the current environment to the new architecture. This action aims to incorporate the geographical component as one more aspect of the Smart City; so that the city can be managed not only based on alphanumeric information; but also on the location where information has been produced related with the available assets of the City Council deployed throughout Valencia.,,,,https://geoportal.valencia.es/home/,
P62,http://smartcity.valencia.es/vlci/enviromental-sensors-onboard-city-buses/,Environmental Sensors on Buses: Smart City Valencia,,,pollution abatement,5.3,1,1,1,1,1,,1,1,,,,,,,,,,,,1,1,1,Spain,,,,,,,1,Valencia,1,,1,,,,,,,,,,1,,,,,1,Smart City Office Valencia,,"40 equipment embarked in the municipal fleet
2 outdoor Wi-Fi access points for each of the two garages
Real-time monitoring of vehicle measurement parameters
Geographic and temporal information of each measure captured
Remote configuration of onboard devices","
Installation of 40 devices onboard buses of different lines of the Council Transportation Company of Valencia to carry out measurements of air quality; as well as monitor the temperature and humidity in the city.

It will allow to have more information in the VLCi platform for the calculation of the air quality index (AQI) of the city of Valencia.

Currently this calculation is barely based on the data obtained in real time from the only 6 air quality measurement stations installed in the city of Valencia (competency of the Generalitat Valenciana).",,,,,
P63,http://smartcity.valencia.es/vlci/efficient-management-of-urban-noise/,Management of Urban Noise: Smart City Valencia,,,Pollution abatement,5.3,1,,1,1,1,1,1,,,,,,,,,,,,,,1,1,Spain,,,,,,,1,Valencia,1,,1,,,,,,,,,,1,,,1,,,Smart City Office Valencia,,"20 smart noise dosimeters
Devices operated remotely
Storage and processing of received data
Decision making support alerts",Sound level meters will be deployed in the most frequented leisure areas of Valencia to have measurements of the noise level available; as well as being able to make real time decisions the moment noise levels increase significantly or are detected in a sustained manner over time. These zones will be Benimaclet; Pl. Honduras; Av. Aragón; Pl. Cedro; Cruz Cubierta; Paseo de la Alameda; Pl. Cánovas; C/ Juan Llorens and Russafa District. Thanks to this project; it will be possible to characterize daily noise patterns (day / evening / night); weekly (days of greater acoustic conflictivity; weekends; etc.) as well as seasonal ones.,,,,,
P64,http://smartcity.valencia.es/vlci/smart-lighting/,Smart Lighting: Smart City Valencia,,Ongoing,Street lighting,6.4,1,1,1,1,1,,1,,,,,,,,,,,,,1,,1,Spain,,,,,,,1,Valencia,1,,1,1,,,,,,,,,1,,,,,1,Smart City Office Valencia,,Real-time dashboard fed by 2000 sensors on lights in the city. Dashboard will provide information on the state and consumption (including historical data of lighting across the city. ,"Thanks to these devices it will be possible to have real-time information on the status of the different lighting sections that exist in these areas and improve environmental sustainability by drastically reducing consumption. These areas of the city have been selected due to their vulnerability to copper theft and with these devices these situations can be detected in real time.

In turn; new indicators (KPIs) related to consumption; luminaire availability; incidents; etc.; may be calculated. Substantially improving the service offered to the citizenship.",,,,,
P65,https://amsterdamsmartcity.com/updates/project/operationeel-mobiliteitscentrum-omc,Operational Mobility Center: Smart City Amsterdam,2020,,Transport,4.5,1,1,1,1,,1,1,,,,,,,,,,,,,1,,1,Netherlands,,,,,,,1,Amsterdam,1,1,1,1,,1,,,,,1,,1,,,1,,1,Gemeente Amsterdam; Amsterdam Smart City,Johan Cruijff ArenA,New traffic management system being piloted that integrates data from the police; road authorities; parking providers and public transport partners. Uses real-time data and historical data to predict future traffic situations and act in an anticipatory way: from reactive to proactive. Also inputs from video cameras.  ,In addition; a so-called Common Operational Picture has been realized. This dashboard shows the pressure of the various mobility flows in real time. It gives all those involved an overview of the current traffic flows at a glance. This allows operational employees; from transport providers to road authorities; to respond directly to the situation. his information is also (partially) available for residents; entrepreneurs and visitors on the website Drukbeeld.amsterdam.nl . This way they can make better choices to avoid crowds.,Creation of a common picture amongst different public and private transport providers.,,,https://druktebeeld.amsterdam.nl/,
P66,https://amsterdamsmartcity.com/updates/project/parksharing-for-local-collaboration-and-sharing-b,Parksharing: Smart City Amsterdam ,2020,,General economic; commercial and labour affairs,4.1,,,,1,,1,,,,,,,,,,,,,,,1,1,Netherlands,,,,,,,1,Amsterdam,1,1,1,1,1,1,,,,,,1,1,,,,,1,Amsterdam Smart City; Municipalities within Amsterdam,Local Business Associations; Park Management Organizations,Platform connecting local businesses,"We connect companies and organizations at local level through Parksharing. The platform shows which companies and organizations are in the municipality and what they can do for each other. Companies can match and share the supply and demand of company resources; materials; residual flows; services; personnel and facilities. 

To accelerate this new and circular development from ownership to use; we have developed a ParkSharingScan. This allows companies to calculate in advance what they can potentially earn and save by sharing assets; materials; services and facilities; both in euros and in energy and CO2.",Set up the Parksharing project and platform together with: municipality; business associations and/or parkmanagement organizations. A critical mass of businesses; users; demand and supply is needed for matches and success. Facilitate the platform (financially) towards businesses for the first 1;5 years. Let them get familiar with asset sharing and the benefits.,,Next step is expanding the Parksharing project and platform towards every municipality and business park in The Netherlands and everywhere around the world. The platform is suitable for every region; municipality; city; business park; or business association to connect businesses and to enable them to collaborate and share.,https://www.parksharing.nl/,
P67,https://www.urbannature.amsterdam/info,Urban Nature Amsterdam,2019,2019-2020,Protection of biodiversity and landscape,5.4,,,,1,1,,,,,,,,,,,,,,,,1,1,Netherlands,,,,,,,1,Amsterdam,,,,,,,,,,,,,1,,,1,,1,Municipality of Amsterdam; Waterschap Amstel; Gooi en Vecht; Recreatie Noord-Holland,Urban Good; Nature Desks,NA,A paper map that provides information on blue and green nature sights across the city. The objective is to provide a sensory experience that cannot be reproduced digitally. The intention is to encourage people to appreciate and navigate the city in a different way to inspire people to make the city greener and healthier.,,,,,
P68,https://amsterdamsmartcity.com/updates/project/eye-beacons-wayfinding-in-public-spaces,EyeBeacons: Wayfinding in Amsterdam's Public Spaces,2018,,Transport; Sickness and disability,4;5; 10.1,1,,,1,,,1,,,,,,,,,,,,1,,,1,Netherlands,,,,,,,1,Amsterdam,,,,,,1,,,,1,,,1,,,1,1,,,Amsterdam University of Applied Sciences,EyeBeacons smartphone and smartwatch app to support wayfinding for those with visual impairment. ,The goal of this research project EyeBeacons is to improve the mobility of the target audience: people with a visual impairment.,,During the research we learned that other existing navigation apps can offer people extra support when navigating through the public space; but unfortunately still fall short.,Next step: The aim is to scale-up this project by enhancing the exposure and applications of the EyeBeacons smartphone and smartwatch app in Amsterdam but also in other municipalities in the Netherlands and abroad.,,
P69,https://wiki.openstreetmap.org/wiki/M%C3%A1laga,OpenStreetMap in Malaga,,,Community development; cross-cutting,6.2; cross-cutting,,,,1,1,1,1,,,,,,,,,,,,,,,1,Spain,,,,,1,Malaga,,,,,,,,1,,,1,,1,,,,,,,,Province of Malaga,OSM,Ongoing Open Street Map of Malaga. Coordinating with Province of Malaga to import building and address data. Public transport data added as well as points of interest; hiking; cultural venues; ,OSM base map has multiple uses by public and private sector stakeholders. ,Collaboration with district government to import 'official' data sets tp augment crowdsourced data.,,,,
P70,https://pl.easyway.info/en/cities/krakow,EasyWay Krakow: Public Transport Map,,,Transport,4.5,1,,,1,,,1,,,,,,,,,,,,,,1,1,Poland,,,,,,,1,Krakow,1,,,,1,,,,,,,,1,,,1,,,,Easyway ,Journey planning application with real-time routing information ,App and desktop map available in Poland; Belarus; Croatia; Almaty; Moldova; Serbia; Ukraine,,,,,
P71,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,Croatia,,,,,1,Zagreb,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P72,https://www.openstreetmap.org/search?query=Rennes#map=13/48.1160/-1.6885,Open Street Map Transit Routes in Rennes,,,Transport,4.5,1,,,1,,1,1,,,,,,,,,,,,,,,1,France,,,,,,,1,Rennes,1,1,,,,1,,,1,,,,,,,,,,,OSM; Osm mapping community,Integration of GPS traces into OSM public transit layer; cycles ways; public transit,OSM base map has multiple uses by public and private sector stakeholders. ,,,,,
P73,https://www.publictechnology.net/articles/news/app-offer-citizens-option-send-location-police?utm_medium=email&utm_campaign=Daily%20email%2012th%20of%20March&utm_content=Daily%20email%2012th%20of%20March+CID_4636b2a5f6d83a73c35f5d800b5ff555&utm_source=Email%20newsletters&utm_term=App%20to%20offer%20citizens%20option%20to%20send%20location%20to%20police,Citizen Location Services for Police: Scotland,2021,,Police Services,3.1,1,,,1,,,,,,,,,,,,,,,,,1,1,United Kingdom,1,Scotland,,,,,,,1,,1,1,1,,,,,,,,1,,,1,,,Scottish Fire and Rescue Service; Scottish Ambulance; Police Scotland,What3Words,The what3words app divides the world into 3x3 metre squares using GPS coordinates and gives each square a unique set of three words.,People who get lost in a remote or rural area can now use a mobile phone app to identify their location when calling Police Scotland on 999 or 101.The app; which is free of charge to members of the public; emergency services and charities; is already being used by the majority of emergency services across the UK; including the Scottish Fire and Rescue Service and Scottish Ambulance Service. Police also plan to use the app to support local incidents and pre-planned operations and events. Use of the app will be an additional option rather than replacing existing methods of giving a location. Police Scotland call handlers will still ask for a postal address as default when someone calls 999 or 101.,In discussion with interviewee from what3words we discussed that the app enabled collaboration between different police and emergency service departments by having a common reference point; particularly in rural areas.,,,,
P74,https://positium.com/blog/local-tourism-insights-from-mpd-setomaa-in-south-estonia ,Local tourism insights from MPD – Setomaa in South Estonia,,,Other industries (tourism),4.7,1,1,1,1,,1,,,,,,,,,,,,,,,1,1,Estonia,,,,,,,1,Setomaa,1,1,1,1,,1,,,,,1,1,,,,,,,,Positium,Use of MPD to track tourism flows. Challenges in measuring tourism flows through other means: However; seasonality can have an impact on accommodation statistics. There are other potential issues at play here as well. Many local businesses in Setomaa are so small they are not required to report their visitor numbers. What is more; many domestic tourists might stay with friends and family instead of accommodation establishments; resulting in underreporting of visitors. A survey done by Enterprise Estonia found that 27% of people who plan domestic tourism trips prefer free accommodation.,in Estonia; the national Government uses MPD to monitor the flow of tourists in the country; including their start and end destination; nationality and their length of trip. This data is captured by the Estonian Tourist Board in a Tourism Dashboard; and; at the national level; is used to support strategic planning. The Board also gives access to the dashboard to local and regional tourism organisations to support their planning and operations. For example; in the region of Setomaa; the local tourism organisation has used the dashboard to better understand tourist flows; target marketing and measure the impact of their policies (see figure 19). Before they had access to this data; VisitSetomaa had been relying on accommodation data which did not capture a lot of tourists; as many of the businesses in the rural tourism communities were too small to have to register visitor numbers and many tourists stay in camping vehicles. It is expected that this location intelligence will also drive political value through the promotion of economic development,national tool made available to local governments and to businesses,This is where mobile positioning data (MPD) steps in. In rural tourism communities such as Setomaa; the available statistics might not be as granular or might be misleading decision-makers in the area. ,,,
P75,https://www.esri.com/arcgis-blog/products/arcgis-pro/analytics/paving-the-road-ahead-with-arcgis-and-ai/,GIS Platform and AI for Roads and Highways in Bavaria,2021,,Transport,4.5,,1,1,1,1,1,,,1,,,,,,,,,,1,,,1,Germany,1,Bavaria,,,,,,,1,,1,1,,,,,,,,,,,,,,,Bavarian State Ministry of Housing; Building and Transport,,A technology stack of ArcGIS Pro and open source Python frameworks was utilized to access; wrangle; impute; analyse; and visualize data and results. Overall; the team’s efforts yielded a collection of deep learning models that predicted highway wear and tear; of which the stacked LSTM (Long Short-Term Memory) CNN (Convolutional Neural Network) model proved to be the most successful at predicting the results largely due to its focus on learning from measurements in both space and time.,"The teams took on the challenge of leveraging road traffic density and road condition data; spanning several time steps between 2009 and 2017; to create a deep learning model that would predict variables representing several indicators of road conditions; such as road roughness and level of crack damage. The goal of the project was to tap into carefully curated time series data collected by the state; and leverage advancements in analytics technology to obtain meaningful predictions of how the highway would experience depreciation over time. This initiative would enable the state to plan predictive road maintenance and invest resources in areas that would most likely be impacted by the effects of use; as well as serve as a proof of concept for potential usage in other parts of the country.

The final results were then published and visualized in ArcGIS Pro; with each road section symbolized to illustrate where road unevenness and cracks would likely develop over time.  Results indicated that curved areas of the highway were the most likely to experience depreciation. These results were also visualized as an animation to show change in road conditions over time; enabling the state department to plan for predictive road maintenance actions and invest resources to ensure smooth highway operations.",,,,,
P76,https://innovationorigins.com/en/stratumseind-eindhovens-data-street/,City Pulse: Stratumseind Living Lab,2013,2013-2018,Police Services,3.1,1,1,1,1,1,1,1,,,,,,,,,,,,,1,,1,Netherlands,,,,,,,1,Eindhoven,1,1,1,1,,1,,,,,,1,1,,,1,,,Eindhoven municipality; Eindhoven police,Stratumseind establishment association; property owners on Stratumseind street; Dutch breweries ,In particular; this project employed video cameras (with blurred faces); sound sensors and sound cameras with embedded analytical capabilities; as well as data created by other sensors; such as temperature; wind speed and rainfall; and data gathered from weekly statistics. The CityPulse system thus supposedly knew how many people were walking or biking around on Stratumseind at any time of the day; which bar is the most crowded; how fast persons are moving and who has a suspicious walking pattern.31 The system also performed sentiment analysis of tweets that related to the Stratumseind street – for example; a tweet that was posted from the physical location on the street or mentioned chosen ‘Stratumseind keywords’; such as the street name; a bar on the street or a famous bartender there.,"For example; in the City of Eindhoven in the Netherlands; a CityPulse model was piloted in a street with a high crime rate. The model drew on existing sources of information of pedestrian walking patterns from Closed-circuit television (CCTV) camera; plus additional data from audio sensors; social media data and weather data to provide early warnings to a police control room. The police service then used this information to better target patrols. The city also experimented with other de-escalating techniques such as pre-emptively adjusting the street lighting. While the model was built to ensure citizens were not identifiable; this project also raises important questions of trust; privacy and ethics. 

The main objective of Stratumseind 2.0 was to ‘long-lastingly improve the street from an economic as well as a social point of view’.20 More concretely; the project wanted to attract more visitors; make them stay longer and spend more money in the establishments; lower the vandalism; police and health-related costs in connection to Stratumseind; increase the income related to Stratumseind and Eindhoven as a whole and create positive value of direct marketing.21 These ambitious goals were planned to be achieved through a variety of means and initiatives; especially through ‘a 365 days; 24/7 scan of all data on Stratumseind’.22 The key element and the main sub-project of Stratumseind 2.0 was thus its living lab – the Stratumseind Living Lab (SLL).",Stratumseind 2.0 was an umbrella project in the form of a public-private partnership (PPP) between Eindhoven municipality; the police and a range of private parties; including the Stratumseind establishments association; real-property owners on the Stratumseind street; and Dutch breweries.18 While the notion of PPP has been defined in many ways; we use the broad definition by Savas; understanding a PPP as ‘any arrangement between government and the private sector in which partially or traditionally public activities are performed by the public sector’.19 This definition includes not only long-term cooperation between public and private parties but also short-term and ad hoc cooperation; which is the case in the Stratumseind 2.0 project.,As seen from the description of the initiative; most of the data collected and processed by the living lab seem – at first blush – non-personal. This is connected to the fact that the SLL and similar types of initiatives try to ‘datafy’ public space and the people there through its sensors.52 For this reason; they processes a lot of data that first and foremost relates to the environment (i.e. ‘environmental data’); such as data relating to the weather; amount of beer sold; sound and crowding levels. In this section; we will examine whether data collected and processed within the SLL; which we will call ‘SLL data’; can nevertheless be considered personal. (see discussion in paper),,https://www.sciencedirect.com/science/article/pii/S0267364920300911?via%3Dihub#cit_15,
P77,,MPD to track tourist mobility in Chemin d’Arles,,,Other industries (tourism),4.7,1,1,1,1,,1,,,,,,,,,,,,,,1,,1,France,,,,,,,2,Haute-Garrone; Aveyron,1,,1,,,1,,,,,,1,,,,,,,Departments of Haute-Garonne,Orange,Use of MPD to track tourism flows. ,For example; Chemin d’Arles (France–Spain) and Chemin de Compostelle en Aveyron (France) some pilots make use of specific data analytics and visualization tools. For example; the Departments of Haute-Garonne (Chemin d’Arles) and Aveyron (Chemin du Puy) use the tourism vision flow tool provided by the French mobile operator Orange. The tool converts large volumes of technical information from Orange’s mobile network in real time into anonymized and aggregated statistical indicators; enabling the analysis of tourism flows to geographic areas and the mobility of people both in terms of general trends and specific events. Haute-Garonne also uses the Géotrek tool for collecting and analysing all data related to the management of hiking paths; e.g. data on works; signs; installations; maps; photos; illustrations and other.,,,,https://www.researchgate.net/publication/344837019_Innovative_Tools_for_Tourism_and_Cultural_Tourism_Impact_Assessment,
P78,https://howbusyistoon.com/,How Busy is Toon: City Occupancy in Glasgow,2020,,General economic; commercial and labour affairs; Public Health Services,4.1; 7.4,,,,,,1,1,,,,,,,,,,,,,,1,1,United Kingdom,,,,,,,1,Newcastle,,,,,,,,,,,,,1,,1,1,,,Newcastle City Council,Newcastle Universitat; Hedgehog Lab; Urban Observatory; National Innovation Centre for Data,Use of live data from CCTV to establish footfall using computer vision technology. ,How Busy Is… is here to help you feel safe and prepared when visiting your city centre. You have access to still images updated every five minutes from Northumberland Street and Grey Street; live data on car park capacity; links to transport information; and up to date rules and safety guidance from NE1; councils and government.,,,,,
P79,https://www.zueriwieneu.ch/,Fix My Street in Zurich City Council,,,Transport; Street Lighting; Waste Management; Water Management,4.5; 6.4; 5.1; 5.2,1,,,1,1,,1,,,,,,,,,,,,,,1,1,,,,,,,,1,Zurich,1,1,1,1,1,1,,,1,,,,1,,,1,,1,Zurich City Council,Fixmystreet,crowdsourced data ,Use of fixmystreet tool to crowdsource data for non-emergency reporting e.g. waste; pot holes etc. Use in several local and regional governments (app and web platform),,,,,
P80,https://www.east-northamptonshire.gov.uk/news/article/1142/east_northants_council_launches_new_way_to_report_fly_tipping,Geocode System to Crowdsource Information on Fly-tipping,2020,,Waste management,5.1,1,,,1,1,,1,,,,,,,,,,,,,,1,1,United Kingdom,,,,,1,East Northamptonshire,,,1,,1,1,1,,,,,,,,1,,,1,,1,East Northamptonshire Council,What3Words,crowdsourced data using what3words geocode grid,It is hoped that by encouraging residents to download the app; fly tipping can be reported more precisely. This will allow it be located more quickly and dealt with by Council officers; especially in more rural areas of the district where a postcode typically cover a much wider area.,,,,,
P81,https://tvarkaumiesta.lt/,Tvarkau Vilniu Platform: Non-emergency Citizen Reporting App ,2012,,Transport; Street lighting; Waste management; Water Management,4.5; 6.4;5.1; 5.2,1,,,1,1,,1,,,,,,,,,,,,,,1,1,Lithuania,,,,,,,1,Vilnius,1,1,1,1,1,1,1,1,1,,1,,1,,,1,,1,Vilnius City Municipality,,,The municipality of the city of Vilnius has created a platform and applications for iOS and Android for reporting infrastructure problems around the city – e.g. broken pavements; misplaced street furniture; illegally parked cars; etc. All replies and solved problems appear on the website where everyone can see and track them; and this gives transparency for all decisions made by city municipality and its employees. The municipality of Vilnius launched the Tvarkau Vilniu platform in 2012 in order to streamline the process of gathering information from citizens. Research on the implementation of the Tvarkau app highlighted that; while citizens are often willing to collaborate and provide information; systemic impacts such as building trust and legitimacy only occur if there is a feedback loop in place where citizens can monitor their contribution. Further; from an efficiency perspective; these platforms create a new stream of information for local and regional governments to process. While this provides valuable information; although sometimes of varying quality; the right work streams need to be in place to process this. In line with this; the municipality of Vilnius is considering the introduction of AI and ML to process and prioritize issues; so they react more quickly. ,,The platform makes it much easier to see and act on reported problems; but some replies that look like automated replies are still being sent. Sometimes it happens because the system is big; complicated and some problems go through many other municipal enterprises and end up at the wrong department.,"More than 9000 unique users and almost 82.000 registered problems since 2012. The numbers of registered problems grow each year which shows that the platform is becoming more popular and citizens feel more involved. The growing numbers are challenging; but does increase the efficiency in the work process. Average problem-solving time in Vilnius decreased to approx 14 days.
The platform has also recently been adopted by three other cities in Lithuania (Alytus; Panevėžys and Šiauliai.)",https://publications.jrc.ec.europa.eu/repository/handle/JRC118857,https://www.interregeurope.eu/policylearning/good-practices/item/3306/fix-the-city-tvarkau-miesta-city-problem-registry-platform-application/
P82,https://www.deutschebahn.com/pr-stuttgart-de/aktuell/presseinformationen/104-pm_vrn_ticket_app_tickin-5458690,Tickin App; Journey Planning in Rhein Neckar,2020,,Transport,4.5,1,,,1,,,1,,,,,,,,,,,,,,1,1,Germany,,,,,1,Rhein-Neckar ,,,1,,,,1,,,,,,,,1,,,1,,,Verkehrsverbund Rhein-Neckar; Deutsche Bahn,,Not sure if this uses geofencing technology but uses app user's location to determine start and end point of journey and calculate the rate accordingly. Supports MaaS. ,"The new app can be used for journeys in all means of transport in the VRN. The travellers pay a basic price of 1.30 euros plus 20 cents per kilometre of the straight line distance per trip. The daily limit is limited to twelve euros and a maximum of 90 euros is charged per month; regardless of how often a passenger uses the bus; tram or train in the VRN. The ticket app not only offers the option of choosing the desired travel class for the journey (1st or 2nd class); the possibility of crediting a Bahncard and the option to take another person along; but also gives the user an overview of the journeys made and the costs incurred for this.

Billing will initially take place via PayPal; further payment methods will follow shortly. All information about the new mobility app is available at a glance on the website www.tickin.de.",,,,,
P83,https://satsense.com/wp-content/uploads/2019/07/16466-SatSense_CaseStudy_HS.pdf,Rail Network Monitoring in Kent ,,,Transport,4.5,1,1,1,1,1,,1,1,1,,,,,,,,,,,,1,1,United Kingdom,,,,,1,Kent ,,,1,,1,1,,,,,,,,,,,,,,,,SatSense,"SatSense takes readings from radar
satellite and converts it to high resolution
ground movement. The Sentinel-1
constellation consists of two radar bearing
satellites; which between them return
to the same orbit every 6 days and
acquire a new radar image. Sophisticated
processing of these images using
proprietary Satsense algorithms; which
build on a technique known as InSAR;
produces detailed maps of ground
movement between satellite passes.
These maps show movement either
towards or away from the satellite and by
combining images acquired from different
geometries; horizontal and vertical motion
can be derived.

Satsense analysed all of the available data from the European Space Agency’s pair of Sentinel-1 satellites (orbiting the Earth at an altitude of almost 700km; 180 degrees apart) over the area of interest in order to build up a more complete picture of the deformation.

This isn’t a new technology – it’s in fact been around since the 1990s; and has transformed scientists’ understanding of everything from the planet’s tectonic fault lines to volcano activity. However; in today’s world; it’s increasingly being used for hazard  management due to its accuracy; cost-effectiveness and remote reporting frequency

The algorithms identify any unusual activity and create alerts for further investigation. The high-quality data which can be gleaned from the technology means that potentially damaging movements in the ground can be spotted and remedied before a safety issue occurs..","SatSense processed Sentinel-1 data over
a site on the Dover to London mainline
near Folkestone. The railway line at this
site crosses one of the largest active
landslides along the English coast;
the deep-seated Folkestone Warren
Landslide; which has had a major impact
on the railway since a major reactivation
in 1915 [3]. Satsense analysed all of
the available Sentinel-1 data from four
different tracks over the area of interest in
order to build up a more complete picture
of the deformation. 

In addition to the average velocities;
SatSense are able to extract detailed
time series for each data point in the
image (Figure 2). These show that the
motion of the Landslide is not steady
in time. SatSense time series are
automatically kept fully up-to-date;
enabling Sentinel-1 data to be used for
operational monitoring of ground stability.

",,,,,
P84,https://www.slingshotsimulations.co.uk/news/digital-twins/government-invests-in-uks-largest-digital-twin-platform/ ,Digital Twin for Mobility Monitoring,2021,2021-2021,Transport; Environmental Protection,4.5; 5.4,1,1,1,1,1,1,1,1,,1,,,1,,,1,,,1,,,1,United Kingdom,,,,,,,3,Leeds; York; Hull,1,1,1,1,,,,,,,,,1,,,1,,1,Leeds City Council; York City Council; Hull City Council,Arup; BT Group,he Digital twin will be an immersive 3D model that integrates ground movement data from satellite data and MPD from MNOs and uses advanced analytics for city and transport modelling.,a project funded by the UK Geospatial Commission is building a digital twin of three cities; Leeds; York and Hull. The Digital twin will be an immersive 3D model that integrates ground movement data from satellite data and MPD from MNOs and uses advanced analytics for city and transport modelling. The digital twin is being built to enable planners to test different ways to boost the capacity of the existing network; reduce congestion; air-pollution and improve logistics,,,,,
P85,https://www.railtech.com/digitalisation/2021/01/18/deutsche-bahn-to-test-hd-mapping-creating-railway-digital-twin/,Sensors4Rail Pilot Project: Digital Twin of Railway in Hamburg,2021,,Transport,4.5,1,,1,1,1,,1,,,,,,,,,1,,,,1,,1,Germany,,,,,,,1,Hamburg,1,,1,1,,,,,,,,,1,,,1,,1,Deutsche Bahn,Siemens Mobility; Bosch; HERE Technologies; Ibeo Automotive Systems,siemens will help with vehicle integration; take responsibility for system tests and localization of the train’s front position by using a modern odometry unit with integrating GNSS satellite positioning. Bosch will integrate radar; Infrared long-range; mid-range and stereo cameras. Ibeo Automotive Systems will install LIDAR sensors to be used even at night or during fog to create a reliable image of the train’s environment. HERE will contribute with delivering the HD map in 3D. The 3D map will assimilate the surroundings on routes such as buildings; bridges or platform edges. This will allow comparing the ACTUAL surrounding with the TARGET status.,"The Sensors4Rail project being implemented by the Deutsche Bahn will equip a Hamburg S-Bahn train with high accuracy sensors that locate the train and monitor surrounding; this data will be visualized on a high definition 3D map. 

Planned outcomes - increase the capacity and quality of the railway system by running more trains; at shorter intervals; on our existing infrastructure",,,,,
P86,Ancin-Murguzur; F; J.; Munoz; L.; Monz; C.; Hausner; V; H. ‘Donres as a tool to monitor human impacts and vegetation changes in parks and protected areas’; Remote Sensing in Ecology and Conservation; ZSL; 2019; Vol. 6; (1); p105-113. https://doi.org/10.1002/rse2.127,Environmental Monitoring in Jotunheimen National Park,2019,,Protection of environment and biodiversity,5.4,1,,,,1,,1,,,,,,,,1,,,,,1,,1,Norway,,,,,2,Sogn og Fjordane; Innlandet,,,1,,1,1,,,,,,,,,1,,,,,1,,The Arctic University of Norway; Utah State University,,Use of UAVs for environmental monitoring. Resulting images were processed using the web-browser based version of OpenDroneMap named WebODM (www.opendronemap.org); a freely available open source photogrammetric software. GPS location and orientation parameters (pitch; yaw; roll) were extracted from the EXIF metadata embedded in each image.,Use of unmanned aerial vehicles (i.e. UAV or drones) to monitor tourism impacts in protected areas in Jotunheimen National Park. Project demonstrates how drones could help protected area management by monitoring visitor use patterns and commonly associated impacts such as trail condition (width and depth); vegetation structure and disturbances; informal trail proliferation; trampling; and trash and other impacts along the trails. We assessed accuracy and reliability compared with intensive field measurements of impacts and found low-cost drones to be effective in mapping the study area with a resolution of 0.5 cm/pixel: drone derived trail measurements were comparable to traditional measurements with a negligible divergence on trail width measurements and a consistent 1.05 cm divergence on trail depth measurements that can be corrected with a few validation points. In addition; we created a high-resolution vegetation classification map that could be used as a baseline for monitoring impacts. We conclude that drones can effectively contribute to visitor monitoring by reducing time spent in the field and by providing high-resolution time series that could be used as baseline to measure tourism impacts on conservation values in protected areas.,"There is a trade-off between desired resolution and the time required for mapping an area. The final resolution of the orthophoto and DSM is dependent on the camera resolution and the flying altitude (Anderson and Gaston 2013; Puttock et al. 2015): surveys requiring lower resolution can be performed at a higher flight altitude; thus reducing the time needed to survey an area. 

Despite the advantages this method provides; there are several limitations. First; trails have to be directly visible from the air: tree canopy obstructs the direct view; making it impossible to generate an orthophoto. In addition; the legal requirements (i.e. registrations; permits) have to be met before starting the survey. Furthermore; a safe flight plan needs to be in place; where potential risks are assessed. Duffy et al. (2017) summarized a set of guidelines to establish safe and successful drone surveys (Cruzan et al. 2016). Technical challenges are also critical to the success or failure of a survey. Battery life is a key factor; with an approximate flight capacity of 30 min/battery in most consumer-level drones. Such flight time capacity may require landing the drone several times to replace batteries before finalizing a mission; therefore requiring careful planning of safe landing areas to avoid accidents and disturbing visitors or wildlife. Small electric drones show the least disturbance to wildlife; but are nonetheless foreign to the natural landscape and need to be flown with care (Tablado et al. 2017); thus careful observation of stress signals is necessary when flying close to wildlife to adapt; or even stop; the flight mission.",,,
